gene	D0h.rep1	D0h.rep2	D1h.rep1	D1h.rep2	D2h.rep1	D2h.rep2	D4h.rep1	D4h.rep2	R1h.rep1	R1h.rep2	R2h.rep1	R2h.rep2	R4h.rep1	R4h.rep2
AT3G08275	10.21699329	17.56197746	0	0	0	23.04086778	0	0	0	0	56.43794834	10.63366972	7.114965116	22.30224014
AT3G02435	5.572905431	8.210794655	12.58037756	0	22.80432118	32.8694897	4.000503359	9.191886923	14.66376386	15.07914064	12.480136	0	0	8.109905504
AT1G03935	0	0	0	4.79014659	12.1098809	14.54569372	18.58854578	19.52483567	6.771273265	22.68804034	32.40053698	6.416869661	0	3.588866229
AT2G20722	17.87973826	29.50412213	24.97065163	13.89142511	7.023730924	0	7.187571035	24.53621016	13.74568473	13.93312595	0	8.187925688	1.328126822	0
AT1G09087	14.21762319	35.54713509	3.890317558	23.84973588	8.462326415	0	10.20610345	6.821930536	0	1.398908228	24.69964265	6.053504753	3.600343793	16.30123576
AT3G14452	17.87973826	9.906756514	12.69507046	6.23333178	18.00956647	0	19.74607427	6.049361479	0	2.977163664	24.64026851	9.065885085	5.95954343	16.01186471
AT3G08165	40.39496421	35.12395491	2.391824869	12.86243066	26.01381824	0	13.31031673	0	0	1.433449172	21.35489937	31.01487003	15.98671174	41.11688716
AT1G14642	15.03523444	7.982717026	3.424658335	11.83928276	9.311764483	7.331185203	4.667253919	18.23057573	38.67833365	19.35156382	2.912031733	5.921020642	2.263852537	3.15385214
AT1G75166	46.15467318	20.8293221	49.56083623	3.634384477	13.2715846	17.31156434	16.11830714	18.10587959	0	8.100654622	19.36839711	1.298296885	26.63975311	8.47139354
AT5G07095	23.7545094	3.763280884	24.90914756	2.232550464	14.42373315	5.317123334	6.600830542	15.16661342	7.714414898	7.464174616	15.10096456	9.570302752	2.134489535	8.920896054
AT1G53410	11.9198255	11.70798497	50.22832224	6.511605521	51.21470466	21.71158695	14.97410632	5.898127442	0	19.35156382	7.118299791	60.47899656	24.9023779	20.2372179
AT2G12461	13.90646309	6.244258651	35.39900806	12.73380635	14.95794549	12.13091842	10.26795862	3.145667969	0	5.160417018	0.474553319	11.57888481	25.8246882	21.58636576
AT3G50825	60.92355258	41.62839101	37.47192294	17.36428139	18.42645459	3.676035885	4.753684547	8.737966581	9.091061328	4.300347515	7.118299791	17.91970268	23.36519408	37.26217899
AT4G37095	17.0075559	12.85022741	23.101528	16.09372421	14.27587586	2.420804119	4.382665265	1.150854135	11.97359297	2.831936169	28.64681623	24.50931193	5.668833994	23.69235266
AT4G09845	12.49845781	9.207250317	23.19837907	7.586336529	20.45746871	0	15.70100469	10.99456766	20.01798747	6.763653373	37.94122898	33.06245368	23.20998329	20.20914964
AT1G09083	19.43449811	22.90692712	20.59049235	16.98679701	11.4517352	12.40662111	12.27690705	11.28337424	0	10.09646808	17.17676689	16.5862131	11.54892888	9.050184403
AT1G07901	3.505831031	2.754819993	14.77303595	17.70475749	21.23186636	14.10949068	33.72319743	19.42912569	15.72218841	27.3198548	4.187235171	7.662497301	6.510425596	0
AT2G11215	21.91709851	23.79364688	18.05441998	26.32649114	35.87389451	25.61366939	20.70152948	10.65468183	11.08522962	56.18195947	16.53282532	12.60604395	27.84782045	12.31019706
AT3G47347	67.57147835	16.42158931	46.12805104	21.6489742	41.04777813	0	24.00302015	49.63618938	14.66376386	0	33.28036266	10.1503211	12.93630021	29.73632018
AT4G39363	17.4327448	8.780988728	16.68297846	15.19374621	9.511302294	8.684634779	21.81941207	17.69438233	20.45488799	27.09218935	14.41455708	28.84382913	21.58206085	13.87694942
AT2G05765	84.87217527	69.35869578	7.357132191	0	15.55889762	0	19.49612396	26.87754278	19.8852582	17.63686829	13.78607428	38.16006793	54.21783544	44.79268483
AT4G39364	24.62127891	34.54815237	26.46691453	9.820782097	33.10364985	8.542263717	18.30558197	16.24402312	14.08369337	20.93775757	42.00963811	14.64308618	32.65885627	16.2087319
AT2G42865	14.43304173	11.84904503	19.19223328	8.786744799	6.699341745	13.15400793	0	7.958918958	7.689066328	11.65756857	24.69964265	8.968155189	10.00095498	12.95739253
